	Domain	Phylum	Class	Order	Family	Genus
30719471a6aa9688fe0c17741b1316fd06b117d8	Bacteria	Pseudomonadota	Gammaproteobacteria	Nevskiales	Steroidobacteraceae	Steroidobacter
0358d0cb34ad7727d7ab105f66e02318f96e3e89	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia
10b24e397bf38dc6bcd589510387db6997f72bec	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microcella
63c02418d47e11f3edffe74d1e81d4addad787e9	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
89269e9ef3584eef4289f2d41a7ad9c309ab27de	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Usitatibacteraceae	Usitatibacter
8497963790ecde83949a24f4b2d401773092f2ff	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
83d0f0bd00a8eda172ed6d2d4b860e5dc9d541f0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae 1	Clostridium sensu stricto
92b7934a8707a42aff0bd882a3f69ce33bbe0508	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_incertae_sedis	Aciditerrimonas
11edc2d32a13165e7f2250995bac92d861b9c721	Bacteria	Acidobacteriota	Acidobacteria_Gp5	Gp5	Gp5	Gp5
d651043e75c5709747ee7d06cdbece1e36fff307	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa
e694b5e5e0da2f11913ad7f790be74da838f908c	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Acidibacter	Acidibacter
b6b4ef3cdc5d2ba849e790fb7bb34060c67a8ba1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter
71da734eb338314e2f5c960118c6abb6887d810a	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Paludibaculum
ff07e8f1ec26ab0885a755eb651e9fc60479e5c2	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Vulgatibacteraceae	Vulgatibacter
6334f3beb94b3c1fa21f43609f54e18fac696017	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter
026de28c978d0e3e26edaada9407540c1fa5c42e	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae 1	Clostridium sensu stricto
cd285095cc68e34d380b92cc815f66a3fc2c3537	Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geoanaerobacter
663c1a91ab8e484bbccdec8bb173663793457595	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Methyloversatilis
e82b23cf0994fb982c9f613cb80b4833af82359c	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Scleromatobacter
060792d14d6bb7b41e5f895ff39569e67367c8c3	Bacteria	Actinomycetota	Thermoleophilia	Thermoleophilales	Thermoleophilaceae	Thermoleophilum
e839123fc0eca38844764a8682eb3432e0144c28	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum
d93151ca42011200add85244e628561369511cca	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Couchioplanes
095e7a68764a31ffc8c2a34093081b1e6578dd4e	Bacteria	Bacillota	Bacilli	Caryophanales	Caryophanaceae	Ureibacillus
381c543b6730dae90f0b1d1ef82e4e3955c7b54e	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
d57ac3940952a3b35bbf7b7e3127048401c8584f	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Sulfuritalea
3fd5f27f1d9caf4a03801b740e3c844a770959e2	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Pyxidicoccus
5e12f24cc75b5b02b9378c19a2d5b6b51a06d803	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Hahyoungchilella
0181424142d53ab33b7dca722962cc1f63a7877c	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
